Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,Year,Kms_Driven,Present_Price
False,True,False,True,2014,27000,5.59
True,False,False,True,2013,43000,9.54
False,True,False,True,2017,6900,9.85
False,True,False,True,2011,5200,4.15
True,False,False,True,2014,42450,6.87
True,False,False,True,2018,2071,9.83
False,True,False,True,2015,18796,8.12
True,False,False,True,2015,33429,8.61
True,False,False,True,2016,20273,8.89
True,False,False,True,2015,42367,8.92
False,True,False,True,2017,2135,3.6
True,False,False,True,2015,51000,10.38
False,True,False,False,2015,15000,9.94
False,True,False,True,2015,26000,7.71
False,True,False,True,2009,77427,7.21
True,False,False,True,2016,43000,10.79
True,False,False,True,2015,41678,10.79
True,False,False,True,2016,43000,10.79
False,False,False,True,2015,35500,5.09
False,True,False,True,2010,41442,7.98
False,True,False,True,2016,25000,3.95
False,True,False,True,2017,2400,5.71
False,True,False,False,2011,50000,8.01
False,True,False,True,2014,45280,3.46
False,True,False,True,2013,56879,4.41
False,True,False,True,2011,20000,4.99
False,True,False,True,2013,55138,5.87
False,True,True,True,2017,16200,6.49
False,True,False,True,2010,44542,3.95
True,False,False,True,2015,45000,10.38
True,False,False,True,2012,51439,5.98
False,True,False,True,2011,54200,4.89
True,False,False,True,2014,39000,7.49
True,False,False,True,2014,45000,9.95
True,False,False,True,2014,45000,8.06
False,False,False,True,2011,49998,7.74
False,True,False,True,2015,48767,7.2
False,True,True,True,2003,127000,2.28
False,True,False,True,2016,10079,3.76
False,True,False,True,2003,62000,7.98
False,True,False,False,2016,24524,7.87
False,True,False,True,2014,46706,3.98
False,True,False,True,2008,58000,7.15
True,False,False,True,2014,45780,8.06
False,True,False,True,2012,50000,2.69
False,True,False,False,2014,15000,12.04
False,True,False,True,2013,64532,4.89
False,True,False,True,2006,65000,4.15
False,True,False,True,2015,25870,7.71
False,True,False,False,2017,37000,9.29
True,False,False,False,2012,104707,30.61
True,False,False,False,2015,40000,30.61
True,False,False,False,2017,15000,19.77
True,False,True,False,2013,135000,30.61
False,True,True,True,2005,90000,10.21
False,True,False,False,2009,70000,15.04
False,True,False,True,2015,40534,7.27
False,True,False,True,2010,50000,18.54
False,True,False,True,2014,39485,6.8
True,False,False,False,2014,41000,35.96
False,True,False,True,2013,40001,18.61
False,True,False,True,2015,40588,7.7
True,False,False,False,2014,78000,35.96
True,False,False,False,2015,47000,35.96
True,False,False,False,2017,6000,36.23
True,False,False,True,2014,45000,6.95
False,True,False,False,2017,11000,23.15
True,False,False,True,2010,59000,20.45
False,True,False,True,2011,88000,13.74
False,True,False,True,2016,12000,20.91
True,False,False,True,2014,71000,6.76
True,False,False,True,2011,45000,12.48
False,True,False,True,2013,56001,18.61
False,True,False,True,2011,43000,5.71
True,False,False,True,2014,83000,8.93
False,True,False,True,2015,36000,6.8
False,True,False,True,2013,72000,14.68
False,True,False,False,2004,135154,12.35
False,True,False,False,2010,80000,22.83
True,False,False,False,2012,89000,30.61
True,False,False,True,2016,23000,14.89
True,False,False,True,2015,40000,7.85
True,False,False,False,2017,15000,25.39
True,False,False,True,2015,38000,13.46
True,False,False,True,2005,197176,13.46
False,True,True,False,2006,142000,23.73
True,False,False,True,2010,78000,92.6
False,True,False,True,2012,56000,13.74
False,True,False,True,2013,47000,6.05
False,True,False,True,2014,40000,6.76
False,True,False,True,2009,62000,18.61
True,False,False,True,2014,58242,16.09
False,True,False,True,2005,75000,13.7
True,False,False,False,2015,40000,30.61
False,True,False,False,2008,89000,22.78
False,True,False,True,2012,72000,18.61
True,False,False,False,2016,29000,25.39
False,True,False,True,2017,8700,18.64
False,True,False,True,2013,45000,18.61
True,False,False,True,2010,50024,20.45
False,True,True,True,2014,8000,0.88
True,False,False,True,2010,58000,6.79
False,True,False,True,2015,28200,5.7
False,True,False,True,2011,53460,4.6
False,True,False,True,2015,28282,4.43
False,True,False,True,2016,3493,5.7
False,True,False,True,2017,12479,7.13
False,True,False,False,2015,34797,5.7
False,True,False,True,2017,3435,8.1
True,False,False,True,2015,21125,5.7
False,True,False,True,2012,35775,4.6
True,False,False,True,2015,43535,14.79
False,True,False,True,2016,22671,13.6
False,True,False,True,2011,31604,6.79
False,True,False,True,2017,20114,5.7
False,True,False,True,2012,36100,9.4
False,True,False,True,2016,12500,4.43
False,True,False,True,2016,15000,4.43
False,True,False,True,2014,45078,9.4
False,True,False,True,2012,36000,9.4
False,True,False,True,2017,38488,4.43
False,True,False,False,2013,32000,6.79
True,False,False,True,2014,77632,7.6
True,False,False,True,2015,61381,9.4
False,True,False,False,2013,36198,9.4
False,True,False,True,2011,22517,4.6
False,True,False,True,2015,24678,5.7
False,True,False,True,2011,57000,4.43
True,False,False,True,2012,60000,9.4
True,False,False,True,2012,52132,6.79
True,False,False,True,2013,45000,9.4
False,True,False,True,2017,15001,9.4
False,True,False,False,2015,12900,14.79
True,False,False,True,2013,53000,5.7
False,True,False,True,2015,4492,5.7
False,True,False,True,2017,15141,9.4
False,True,False,True,2016,11849,4.43
True,False,False,True,2015,68000,13.6
False,True,False,True,2013,60241,9.4
False,True,False,True,2012,23709,4.43
True,False,False,True,2012,32322,9.4
False,True,False,True,2015,35866,7.13
False,True,False,True,2014,34000,7.13
False,True,False,True,2016,7000,7.6
True,False,False,True,2013,49000,9.4
True,False,False,True,2012,71000,9.4
False,True,False,True,2012,35000,6.79
False,True,False,True,2015,36000,9.4
False,True,False,True,2013,30000,4.6
False,True,False,True,2016,17000,7.6
True,False,False,True,2016,35934,13.6
False,True,False,True,2013,56701,9.9
False,True,False,False,2015,31427,6.82
True,False,False,True,2014,48000,9.9
False,True,False,True,2013,54242,9.9
False,True,False,True,2012,53675,5.35
False,True,False,True,2016,49562,13.6
False,True,False,True,2015,40324,13.6
False,True,False,True,2015,25000,13.6
False,True,False,True,2014,36054,7.0
False,True,False,True,2016,29223,13.6
False,True,False,True,2016,5600,5.97
False,True,False,True,2015,40023,5.8
False,True,False,True,2016,16002,7.7
False,True,False,True,2015,40026,7.0
False,True,False,True,2017,21200,8.7
False,True,False,True,2014,35000,7.0
True,False,False,True,2016,19434,9.4
False,True,False,True,2017,19000,5.8
False,True,False,True,2015,18828,10.0
False,True,False,True,2011,69341,10.0
False,True,False,True,2009,69562,10.0
False,True,False,True,2015,27600,10.0
False,True,False,True,2010,61203,7.5
False,True,False,True,2014,16500,6.8
False,True,False,False,2016,30753,13.6
False,True,False,True,2015,24800,13.6
False,True,False,True,2015,21780,13.6
False,True,False,True,2016,4000,8.4
False,True,False,True,2014,40126,13.6
False,True,False,True,2015,14465,5.9
False,True,False,True,2006,50456,7.6
True,False,False,True,2014,63000,14.0
False,True,False,True,2016,9010,11.8
False,True,False,True,2013,9800,5.9
False,True,False,False,2016,15059,8.5
False,True,False,True,2016,28569,7.9
False,True,False,False,2015,44000,7.5
False,True,False,True,2015,34000,13.6
False,True,False,True,2016,10980,13.6
False,True,False,True,2014,19000,6.4
False,True,False,True,2015,31427,6.1
False,True,False,True,2016,12000,8.4
False,True,False,True,2010,38000,9.9
False,True,False,True,2014,33019,6.8
True,False,False,True,2015,60076,13.09
True,False,False,True,2016,33988,11.6
False,True,False,True,2015,60000,5.9
False,True,False,True,2009,87934,11.0
True,False,False,True,2017,9000,12.5
False,True,False,True,2016,5464,5.9
